happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,cellular_subscriptions,surplus_deficit_gdp,inflation_rate,population,target_label,record_name
28,6.4539999962,1.2175596951999998,1.412227869,0.7192168235999999,0.5793922544,0.1750969291,0.17806187269999998,2.1724095345,152,-3.7,6.2,3360148,3,Uruguay
29,6.4539999962,0.8720019459999999,1.2555851936,0.5402399898,0.5313106179,0.2834883928,0.0772232786,2.8938910961,129,-3.2,4.4,15460732,3,Guatemala
30,6.4520001411,1.233748436,1.3731925487999999,0.7061561345999999,0.550026834,0.21055693920000002,0.070983924,2.307199955,159,-1.6,0.9,3753142,3,Panama
31,6.4419999123,1.4309234619,1.3877768516999998,0.8444658518000001,0.4702221155,0.1297623068,0.17250242829999998,2.0059547424,103,-2.7,1.2,67106161,3,France
32,6.4239997864,1.1278687716,1.4257924557,0.6472390294,0.5802007318,0.5721231103,0.0316127352,2.0395083427,178,-2.5,0.7,68414135,3,Thailand
33,6.4219999313,1.4336265326,1.3845653534,0.7939842343000001,0.3614665866,0.2583604753,0.0638292357,2.1266074181,122,0.2,0.6,23508428,3,Taiwan
34,6.402999877899999,1.3843978643000001,1.5320909023,0.8889605999,0.4087812304,0.1901335716,0.0709140971,1.92775774,107,-3.3,2.0,48958159,3,Spain
35,6.375,1.870765686,1.2742968798,0.7100980878,0.6041309834,0.33047387,0.43929925560000005,1.1454644203,169,-6.2,0.4,2314307,3,Qatar
36,6.3569998741,1.0706223249,1.4021829366999998,0.5950279236,0.4774874151,0.149014473,0.046668741900000005,2.6160681248,130,-3.4,4.3,47698524,3,Colombia
37,6.3439998627,1.5306235552,1.2866775990000001,0.5901483297,0.44975057240000005,0.1476160139,0.2734322548,2.0654296875,141,-8.8,-0.9,28571770,3,Saudi Arabia
38,6.1680002213,1.3613559008000002,1.3802285194,0.5199832916,0.518630743,0.3252964616,0.0089648161,2.0532474518,167,-4.5,1.9,1218208,3,Trinidad and Tobago
39,6.105000019099999,1.6329524516999998,1.2596987486,0.6321057081,0.4963375926,0.22828979789999998,0.2151595503,1.6404252052000001,179,-7.2,1.5,2875422,3,Kuwait
40,6.0980000496,1.3253935575,1.5050592422,0.7127329111,0.2958174646,0.1365444809,0.024210851600000003,2.0977766514,131,-1.5,1.3,5445829,3,Slovakia
41,6.086999893200001,1.488412261,1.3231104612,0.6531330347,0.5367469192000001,0.1726684868,0.25704216960000004,1.6561493874000002,168,-10.3,1.4,1410942,3,Bahrain
42,6.084000110599999,1.2912154198,1.2846460342000001,0.6187844276,0.4022649825,0.4166089296,0.0656007081,2.0044488907,135,-2.9,3.8,31381992,3,Malaysia
43,6.0710000992,0.7372992039,1.2872157096999999,0.6530959606,0.44755184649999996,0.30167421699999997,0.1306879818,2.5139305592,136,-2.0,3.9,6025951,3,Nicaragua
44,6.007999897,1.0008203983,1.2861688137,0.6856362224,0.4551981986,0.150112465,0.1401346475,2.2903525828999998,85,-5.5,0.4,16290913,3,Ecuador
45,6.0029997826,0.9097844958,1.1821250916,0.5960185528,0.4324525297,0.0782579854,0.0899809599,2.7145938873000004,162,-3.6,1.0,6172011,3,El Salvador
46,5.9730000496,1.2917878628,1.4457119703,0.699475348,0.5203421116,0.1584659666,0.0593078062,1.7977228165,130,-2.3,2.0,38476269,2,Poland
47,5.9710001945,0.7864410877,1.5489691496,0.49827262759999996,0.6582486629,0.4159836471,0.2465282232,1.8169136047,82,0.3,12.5,29748859,2,Uzbekistan
48,5.9640002250999995,1.3950666188999998,1.4449232817,0.8531443476999999,0.25645071269999997,0.1727896482,0.0280280914,1.8133120537,135,-2.3,1.3,62137802,2,Italy
49,5.9629998207,1.2817780972,1.4692823887,0.5473493338000001,0.37378311159999994,0.0522638224,0.032962881,2.2056074141999997,160,-2.3,3.7,142257519,2,Russia
50,5.9559998512,0.9079753159999999,1.081417799,0.450191766,0.5475093722,0.2400156409,0.0965810716,2.6319556236,63,-2.7,1.1,360346,2,Belize
51,5.9200000763,1.4169151783,1.4363378286000001,0.9134758711,0.505625546,0.1205727682,0.1637607366,1.3632235527,135,-4.6,0.5,126451398,2,Japan
52,5.9019999504,1.3145823479,1.4735161066,0.6289499402000001,0.2342317849,0.0101646567,0.0118656429,2.2284405231,154,0.0,3.7,2823859,2,Lithuania
53,5.8720002174,1.0918644667,1.1462174654000001,0.6175846457,0.2333358079,0.069436647,0.1460961103,2.5676038265,122,-10.6,5.6,40969443,2,Algeria
54,5.849999904600001,1.2607486248,1.4047149419999998,0.6385669708,0.32570791239999997,0.1530747861,0.0738427266,1.9936552047999998,127,-0.5,2.9,1944643,2,Latvia
55,5.8379998207,1.4016784430000002,1.1282744408,0.9002140759999999,0.2579216659,0.2066743672,0.06328266860000001,1.8803780078999999,124,1.0,1.9,51181299,2,South Korea
56,5.8379998207,0.7288706303,1.2518255711,0.5894652009,0.24072904879999998,0.20877912640000001,0.0100912862,2.8078083992000002,105,-0.8,6.6,3474121,2,Moldova
57,5.8249998092999995,1.2176839113,1.1500912905,0.6851583123,0.4570037425,0.1335199177,0.0043879007,2.1768314838,105,-3.1,1.3,21529967,2,Romania
58,5.822999954199999,0.8337565659999999,1.2276190518999999,0.47363024950000004,0.5587329268,0.2255607247,0.0604777262,2.4432790279,91,-6.2,2.8,11138234,2,Bolivia
59,5.8220000267,1.130776763,1.4931491612999999,0.4377260804,0.418271929,0.2499249876,0.2592703402,1.8329098225,160,-0.6,8.0,5351277,2,Turkmenistan
60,5.8189997673,1.2845562696,1.3843690157,0.6060415506,0.4374542832,0.20196442309999998,0.11928288640000001,1.7848925591,143,-2.3,7.4,18556698,2,Kazakhstan
61,5.809999942799999,1.3469113111000002,1.1863033772,0.8346472383,0.47120362520000003,0.2668457031,0.1553533524,1.5491576194999999,96,-0.9,0.7,1221549,2,Northern Cyprus
62,5.757999897,1.3412059546,1.4525188208000002,0.790828228,0.5725758075999999,0.24264909329999998,0.0451289788,1.3133172989,124,-0.7,1.4,1972126,2,Slovenia
63,5.7150001526,1.0352252722,1.2187703848,0.6301661134000001,0.4500028789,0.1268197149,0.047049086500000004,2.2072694302,125,-2.8,2.8,31036656,2,Peru
64,5.629000186900001,1.1893955469,1.2095609903,0.638007462,0.4912473261,0.3609337509,0.0421815552,1.6975839138,136,-3.5,3.7,1356388,2,Mauritius
65,5.620999813099999,1.3559380769999998,1.1313632727,0.8447147012,0.35511153939999995,0.2712543011,0.0412379764,1.6212491989,96,-0.9,0.7,1221549,2,Cyprus
66,5.611000061,1.3208793401999999,1.4766710996999999,0.6951683164,0.4791314304,0.0988908112,0.1832489222,1.3575086593999999,152,-0.2,3.7,1251581,2,Estonia
67,5.5689997673,1.15655756,1.4449452162,0.6377142668,0.2954002619,0.15513750910000002,0.1563138217,1.7232329844999998,115,0.5,6.0,9549747,2,Belarus
68,5.525000095399999,1.1018030643,1.3575643301,0.5201690197,0.4657332301,0.1520736665,0.0926102102,1.8350112438,115,-18.0,28.0,6653210,2,Libya
69,5.5,1.1982743740000001,1.3377531767,0.6376056075,0.3007405996,0.0466930419,0.0996715799,1.8792779446,96,-2.0,11.1,80845215,2,Turkey
70,5.493000030499999,0.9325373173,1.5072848797,0.5792506933,0.4735077918,0.2241506577,0.0910659134,1.6853334904,108,-1.8,3.6,6943739,2,Paraguay
71,5.472000122100001,1.5516748428,1.2627909184000001,0.9430624247,0.4909686446,0.3744657934,0.29393374920000004,0.5546331406,255,5.2,1.5,7191503,2,"Hong Kong S.A.R., China"
72,5.429999828300001,0.8576992154,1.2539175749,0.4680090547,0.5852146745,0.1935134232,0.099331893,1.9726047516,111,-2.2,3.2,104256076,2,Philippines
73,5.394999980900001,1.0693175793,1.2581897974,0.6507846713000001,0.2087155282,0.22012588379999998,0.0409037806,1.9470844269,121,-1.7,3.1,7111024,2,Serbia
74,5.3359999657,0.9910123944,1.2390888929000001,0.6045900583,0.4184211493,0.1721704602,0.1198032722,1.7911765575,96,-6.6,3.3,10248069,2,Jordan
75,5.3239998817,1.2860119343,1.3431330919,0.6877634525,0.1758635193,0.0784016624,0.0366369374,1.7164592743,122,-2.1,2.4,9850845,2,Hungary
76,5.3109998703,0.9255793095,1.3682180643000001,0.6410223842,0.47430723909999994,0.2338183373,0.055267780999999995,1.6123256683000002,103,1.3,4.4,2990561,2,Jamaica
77,5.2930002213,1.2225562334,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311,1.8544924259,101,-0.5,1.1,4292095,2,Croatia
78,5.2789998055,0.9514843822,1.1378535032,0.5414520502,0.2602879405,0.3199314475,0.057471618099999996,2.0105407238,31,-2.2,1.5,1895250,2,Kosovo
